"",".imp",".id","X","RecordedDate","UserLanguage","time","age","gender","married","education","caste_ethnicity","caste_ethnicity_aru","district","rural_urban","past_experience","anxiety","eews_know","opinion_ewws_need","receive_warning","display","behavior","small_behavior","exp1_implement","exp_1_useful","exp_1_interest","ask_again","exp1_treat","exp1_implement_code","exp1_useful_code","exp_1_interest_code","exp_1_interest_code_check","eews_know_code","anxiety_code","caste_ethnicity_code","married_code","gender_code","rural_urban_code","education_code","age_code","opinion_eews_need_code","small_behavior_code","experience_count","experience_score","experience_index","display_score"
"1",0,1,1,"2024-07-07","NE",9.25,"46-50","Male","Married","Post-graduate","Chhetri",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Slightly disagree ","I have heard of it but do not know anything about it.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No",NA,1,5,5,0,0,2,2,0,1,0,0,4,3,3,0,6,10,0.526315789473684,5
"2",0,2,2,"2024-07-07","EN",35.9333333333333,"66-70","Male","Married","Post-graduate","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,4,5,0,1,0,0,4,5,4,0,7,17,0.894736842105263,6
"3",0,3,3,"2024-07-07","EN",10.65,"21-25","Female","Single (never married)","Secondary","Newar (Newa)",NA,"Bhaktapur","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,3,5,1,0,1,0,2,0,4,1,6,12,0.631578947368421,6
"4",0,4,4,"2024-07-07","NE",15.3,"56-60","Male","Widowed","University (Bachelor)","Newar (Newa)",NA,"Lalitpur","City","Personally felt an earthquake before","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions,Other","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,5,5,1,0,0,0,3,4,5,0,1,1,0.0526315789473684,7
"5",0,5,5,"2024-07-08","EN",13.6,"21-25","Male","Single (never married)","University (Bachelor)","Bahun",NA,"Sunsari","City","Personally have felt strong shaking","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,4,5,0,0,0,0,3,0,5,0,1,2,0.105263157894737,5
"6",0,6,6,"2024-07-08","NE",17.5166666666667,"41-45","Male","Married","University (Bachelor)","Newar (Newa)",NA,"Lalitpur","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,2,5,1,1,0,0,3,2,2,1,7,14,0.736842105263158,5
"7",0,7,7,"2024-07-08","EN",7.96666666666667,"31-35","Male","Married","University (Bachelor)","Newar (Newa)",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,4,5,1,1,0,0,3,1,5,1,5,10,0.526315789473684,6
"8",0,8,8,"2024-07-08","EN",8.56666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Newar (Newa)",NA,"Lalitpur","Town","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,1,5,1,0,0,1,3,0,3,1,7,14,0.736842105263158,6
"9",0,9,9,"2024-07-09","EN",6.8,"26-30","Male","Single (never married)","University (Bachelor)","Bahun",NA,"Arghakhanchi","Village","Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Observed,Have seen the effects of","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,2,4,0,0,0,2,3,1,1,1,5,11,0.578947368421053,5
"10",0,10,10,"2024-07-09","NE",9.31666666666667,"51-55","Male","Married","Post-graduate","Chhetri",NA,"Kailali","Town","Personally felt an earthquake before","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,1,5,0,1,0,1,4,3,5,0,1,1,0.0526315789473684,1
"11",0,11,11,"2024-07-09","NE",24.2,"56-60","Male","Married","University (Bachelor)","Bahun",NA,"Kanchanpur","Town","Personally felt an earthquake before,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes",NA,1,5,4,1,1,2,5,0,1,0,1,3,4,4,1,4,8,0.421052631578947,5
"12",0,12,12,"2024-07-09","EN",7.63333333333333,"26-30","Male","Single (never married)","Post-graduate","Bahun",NA,"Nuwakot","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Observed","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,5,5,0,0,0,0,4,1,2,1,6,16,0.842105263157895,3
"13",0,13,13,"2024-07-09","EN",7.3,"36-40","Male","Married","Post-graduate","Newar (Newa)",NA,"Kathmandu","City","Personally have felt strong shaking","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,3,4,1,1,0,0,4,2,4,1,1,2,0.105263157894737,1
"14",0,14,14,"2024-07-09","EN",7.63333333333333,"26-30","Female","Single (never married)","Post-graduate","Newar (Newa)",NA,"Lalitpur","City","Personally have felt strong shaking,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Expected intensity of ground shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,3,5,1,0,1,0,4,1,3,1,4,7,0.368421052631579,2
"15",0,15,15,"2024-07-09","EN",9.88333333333333,"18-20","Male","Single (never married)","Secondary","Bahun",NA,"Tanahun","Town","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Expected duration of shaking,Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,2,5,0,0,0,1,2,0,5,0,8,19,1,5
"16",0,16,16,"2024-07-09","EN",9.98333333333333,"18-20","Male","Single (never married)","University (Bachelor)","Bahun",NA,"Lalitpur","Town","Personally have felt strong shaking,Personally have experienced injury,Observed","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No",NA,0,5,5,0,0,2,4,0,0,0,1,3,0,4,1,3,9,0.473684210526316,2
"17",0,17,17,"2024-07-09","EN",11.5,"21-25","Female","Single (never married)","University (Bachelor)","Magar",NA,"Myagdi","Town","Personally felt an earthquake before,Personally have felt strong shaking,Struggled mentally following an earthquake,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,3,4,2,0,1,1,3,0,3,1,5,8,0.421052631578947,6
"18",0,18,18,"2024-07-09","EN",19.7,"18-20","Male","Single (never married)","Secondary","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected duration of shaking","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Ask me again at the end of the survey","Yes",2,5,4,1,NA,4,5,0,0,0,0,2,0,2,0,6,15,0.789473684210526,3
"19",0,19,19,"2024-07-09","EN",13.3333333333333,"31-35","Male","Married","University (Bachelor)","Chhetri",NA,"Parbat","Village","Personally felt an earthquake before,Have seen the effects of","Neither agree nor disagree","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,3,3,0,1,0,2,3,1,2,1,2,2,0.105263157894737,5
"20",0,20,20,"2024-07-09","EN",197.9,"18-20","Male","Single (never married)","Secondary","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,3,5,0,0,0,0,2,0,2,0,5,10,0.526315789473684,5
"21",0,21,21,"2024-07-09","NE",27.0666666666667,NA,"Male","Single (never married)",NA,"Tamang",NA,"Dolakha","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,2,5,2,0,0,0,NA,NA,4,1,7,14,0.736842105263158,6
"22",0,22,22,"2024-07-10","EN",44.3166666666667,"41-45","Male","Single (never married)","Post-graduate","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Observed,Have seen the effects of","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,3,5,0,0,0,0,4,2,3,0,5,10,0.526315789473684,6
"23",0,23,23,"2024-07-10","EN",76.0666666666667,NA,"Male","Married","Post-graduate","Madhesh",NA,NA,"City","Personally have felt strong shaking,Have seen the effects of","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,2,5,2,1,0,0,4,NA,3,1,2,3,0.157894736842105,6
"24",0,24,24,"2024-07-10","EN",5.18333333333333,"41-45","Male","Married","Post-graduate","Chhetri",NA,"Chitwan","City","Personally have felt strong shaking","Highly agree (Very worried)",NA,"For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,NA,5,0,1,0,0,4,2,5,0,1,2,0.105263157894737,2
"25",0,25,25,"2024-07-10","EN",3.31666666666667,"21-25","Male","Single (never married)","Secondary","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before,Know family or friends,Struggled mentally following an earthquake,Have seen the effects of","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,1,5,0,0,0,0,2,0,5,0,4,8,0.421052631578947,2
"26",0,26,26,"2024-07-10","NE",10.25,"51-55","Male","Married","University (Bachelor)","Bahun",NA,"Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking,Observed,Have seen the effects of","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions",NA,"I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes",NA,2,5,4,1,1,2,4,0,1,0,1,3,3,5,1,4,6,0.315789473684211,6
"27",0,27,27,"2024-07-10","EN",6.01666666666667,"46-50","Female","Married","University (Bachelor)","Bahun",NA,"Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking,Personally have experienced injury,Observed,Have seen the effects of","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I have no strong opinions about its implementation.","Somewhat useful","Ask me again at the end of the survey","Yes",3,3,4,1,NA,1,5,0,1,1,1,3,3,4,0,5,11,0.578947368421053,6
"28",0,28,28,"2024-07-10","EN",12.2333333333333,"26-30","Male","Single (never married)","University (Bachelor)","Newar (Newa)",NA,"Bhaktapur","City","Personally felt an earthquake before,Personally have felt strong shaking,Know family or friends,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes",NA,0,5,4,1,1,3,4,1,0,0,0,3,1,3,1,7,14,0.736842105263158,5
"29",0,29,29,"2024-07-10","EN",6.61666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Other","Sunuwar ","Kaski","City","Personally felt an earthquake before,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,3,4,2,0,0,0,3,0,5,1,2,2,0.105263157894737,4
"30",0,30,30,"2024-07-10","EN",38.05,"18-20","Male","Single (never married)","Secondary","Bahun",NA,"Kathmandu","City","Personally felt an earthquake before","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,2,4,0,0,0,0,2,0,2,1,1,1,0.0526315789473684,5
"31",0,31,31,"2024-07-10","NE",15.6166666666667,"41-45","Male","Married","No formal education","Newar (Newa)",NA,"Lalitpur","City","Have seen the effects of","Slightly agree ","I have never heard of it.","I don’t know","Mobile phone alert (app)","Magnitude of earthquake","I don’t know what I would do","I don't know","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes",NA,2,5,4,1,1,1,4,1,1,0,0,0,2,NA,NA,1,1,0.0526315789473684,1
"32",0,32,32,"2024-07-10","EN",11.6,"36-40","Male","Married","Post-graduate","Newar (Newa)",NA,"Ilam","City","Personally felt an earthquake before,Personally have felt strong shaking","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,1,5,5,1,1,2,4,1,1,0,0,4,2,2,1,2,3,0.157894736842105,1
"33",0,33,33,"2024-07-10","NE",20.8666666666667,"51-55","Female","Married","Secondary","Bahun",NA,"Kaski","City","Personally felt an earthquake before,Personally have felt strong shaking,Observed,Have seen the effects of","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,2,5,5,1,1,2,4,0,1,1,0,2,3,1,1,4,6,0.315789473684211,4
"34",0,34,34,"2024-07-10","EN",13.5166666666667,"26-30","Male","Married","University (Bachelor)",NA,NA,NA,NA,"Personally have felt strong shaking","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,4,5,NA,1,0,NA,3,1,3,1,1,2,0.105263157894737,6
"35",0,35,35,"2024-07-11","EN",8.36666666666667,"41-45","Male","Single (never married)","University (Bachelor)","Thakuri",NA,"Kathmandu","City","Personally have felt strong shaking,Know family or friends,Struggled mentally following an earthquake,Observed","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Run outside to open space","I don't know","I think it is a good thing to implement but not a priority.","Somewhat useful",NA,NA,3,4,4,NA,NA,3,5,2,0,0,0,3,2,4,NA,4,10,0.526315789473684,4
"36",0,36,36,"2024-07-11","EN",7.85,NA,NA,NA,"University (Bachelor)","Other","Muslim","Banke","City","Personally felt an earthquake before,Personally have felt strong shaking","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I think it is a good thing to implement but not a priority.","Useful","Yes",NA,2,4,5,1,1,3,4,2,NA,NA,0,3,NA,4,1,2,3,0.157894736842105,4
"37",0,37,37,"2024-07-11","EN",39.65,"21-25","Male","Single (never married)","University (Bachelor)","Rai",NA,"Sunsari","City","Personally felt an earthquake before,Personally have felt strong shaking,Struggled mentally following an earthquake,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,3,5,5,1,1,3,4,2,0,0,0,3,0,2,1,4,6,0.315789473684211,6
"38",0,38,38,"2024-07-11","EN",22.9166666666667,"36-40","Male","Married","University (Bachelor)","Madhesh",NA,"Dhanusha","Town","Personally felt an earthquake before,Observed,Have seen the effects of","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes",NA,0,5,5,1,1,3,4,2,1,0,1,3,2,2,0,3,4,0.210526315789474,5
