"","X","RecordedDate","UserLanguage","time","age","gender","married","education","caste_ethnicity","caste_ethnicity_aru","district","rural_urban","past_experience","anxiety","eews_know","opinion_ewws_need","receive_warning","display","behavior","small_behavior","exp1_implement","exp_1_useful","exp_1_interest","ask_again","exp1_treat"
"1",1,"2024-07-07","NE",9.25,"46-50","Male","Married","Post-graduate","Chhetri","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly disagree ","I have heard of it but do not know anything about it.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Try to reach my friends, family or anyone near me","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",1
"2",2,"2024-07-07","EN",35.9333333333333,"66-70","Male","Married","Post-graduate","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"3",3,"2024-07-07","EN",10.65,"21-25","Female","Single (never married)","Secondary","Newar (Newa)","","Bhaktapur","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"4",4,"2024-07-07","NE",15.3,"56-60","Male","Widowed","University (Bachelor)","Newar (Newa)","","Lalitpur","City","Personally felt an earthquake before","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions,Other","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"5",5,"2024-07-08","EN",13.6,"21-25","Male","Single (never married)","University (Bachelor)","Bahun","","Sunsari","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"6",6,"2024-07-08","NE",17.5166666666667,"41-45","Male","Married","University (Bachelor)","Newar (Newa)","","Lalitpur","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"7",7,"2024-07-08","EN",7.96666666666667,"31-35","Male","Married","University (Bachelor)","Newar (Newa)","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"8",8,"2024-07-08","EN",8.56666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Newar (Newa)","","Lalitpur","Town","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"9",9,"2024-07-09","EN",6.8,"26-30","Male","Single (never married)","University (Bachelor)","Bahun","","Arghakhanchi","Village","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"10",10,"2024-07-09","NE",9.31666666666667,"51-55","Male","Married","Post-graduate","Chhetri","","Kailali","Town","Personally felt an earthquake before","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
